공장명,공정코드,공정명,공정그룹코드,공정그룹명
KANC1,1111,Lot Start,C3A,MATERIAL PROPERTY
KANC1,5000,Epitaxy,E1B,EPITAXY(MOCVD)
KANC1,9000,Wafer ID Marking,R7A,ETC
KANC1,10000,PR Coating (2~3 inch),L1B,COAT/DEVELOP
KANC1,10001,"PR Coating, Soft Bake",L1B,COAT/DEVELOP
KANC1,10002,PR Coating on backside,L1B,COAT/DEVELOP
KANC1,10010,PR Coating (KrF Stepper),L1B,COAT/DEVELOP
KANC1,10020,PR Coating (i-Line 4~6 inch),L1B,COAT/DEVELOP
KANC1,10500,LOR Coating,L1B,COAT/DEVELOP
KANC1,10510,LOR Coating (4인치),L1B,COAT/DEVELOP
KANC1,12000,Exposure (KrF Stepper),L1A,EXPOSURE
KANC1,12100,Exposure (Mask Aligner - Manual),L1A,EXPOSURE
KANC1,12110,Exposure (Mask Aligner - Auto),L1A,EXPOSURE
KANC1,12500,Chip Isolation Exposure,L1A,EXPOSURE
KANC1,13500,Imprint,L5A,ETC
KANC1,15000,PR Development (2~3 inch),L1B,COAT/DEVELOP
KANC1,15010,PR Development (KrF Stepper),L1B,COAT/DEVELOP
KANC1,15020,PR Development (i-Line 4~6 inch),L1B,COAT/DEVELOP
KANC1,17000,Hard Bake,L5A,ETC
KANC1,18000,Cell Mount,C5A,ETC
KANC1,40000,"Wet Cleaning, Rinse & Dry",R1B,WET-BENCH
KANC1,41100,Wet Cleaning,C1A,OPTICAL PROPERTY
KANC1,41200,"Cleaning, Rinse & Dry",C1A,OPTICAL PROPERTY
KANC1,41300,Ga droplet Cleaning,C1A,OPTICAL PROPERTY
KANC1,42000,Lift-off,C3A,MATERIAL PROPERTY
KANC1,42050,"Metal lift-off, Rinse & Dry",C1A,OPTICAL PROPERTY
KANC1,42500,Laser Lift-off,C1A,OPTICAL PROPERTY
KANC1,43000,PR Removal (Lift-Off),C1A,OPTICAL PROPERTY
KANC1,43050,"PR Removal, Rinse & Dry",R1B,WET-BENCH
KANC1,43100,PR Removal (Track),L3A,STATION/BENCH
